no,scenario_num,epoch,total_epoch,vocabulary,drop_rate,learning_rate,weight_decay,vocabulary_total,n_heads,train_acc,test_acc,train_loss,test_loss,time
88,88,100,28,use_lemma,0.1,0.0001,0.01,8175,1,0.9052,0.9083503054989817,0.2599,0.3147110691381326,01:41
89,89,100,25,use_lemma,0.1,0.0001,0.001,8175,1,0.8948,0.8859470468431772,0.2844,0.3507132175740788,01:31
90,90,100,29,use_lemma,0.1,0.0001,0.0001,8175,1,0.9106,0.9103869653767821,0.2382,0.3036168580021246,01:44
91,91,100,12,use_lemma,0.3,0.01,0.01,8175,1,0.2285,0.19144602851323828,1.6017,1.6382139848351722,00:44
92,92,100,12,use_lemma,0.3,0.01,0.001,8175,1,0.2247,0.19144602851323828,1.5989,1.626208465113902,00:45
93,93,100,7,use_lemma,0.3,0.01,0.0001,8175,1,0.2202,0.19144602851323828,1.6015,1.6226414985909239,00:28
94,94,100,16,use_lemma,0.3,0.001,0.01,8175,1,0.9195,0.9083503054989817,0.2222,0.23381545347618718,00:59
95,95,100,22,use_lemma,0.3,0.001,0.001,8175,1,0.9565,0.9287169042769857,0.1190,0.2383609581017931,01:20
96,96,100,21,use_lemma,0.3,0.001,0.0001,8175,1,0.9461,0.9022403258655805,0.1561,0.2992904378658885,01:17
97,97,100,32,use_lemma,0.3,0.0001,0.01,8175,1,0.8576,0.9164969450101833,0.3907,0.2860831194642605,01:56
98,98,100,35,use_lemma,0.3,0.0001,0.001,8175,1,0.8649,0.9022403258655805,0.3734,0.29329061963407665,02:06
99,99,100,43,use_lemma,0.3,0.0001,0.0001,8175,1,0.8774,0.9164969450101833,0.3324,0.25099550976651264,02:34
100,100,100,8,use_lemma,0.5,0.01,0.01,8175,1,0.2282,0.13238289205702647,1.6008,1.6288816693358412,00:31
101,101,100,6,use_lemma,0.5,0.01,0.001,8175,1,0.2280,0.19144602851323828,1.6001,1.62543757578506,00:24
102,102,100,10,use_lemma,0.5,0.01,0.0001,8175,1,0.2259,0.19144602851323828,1.5999,1.6230855985960018,00:38
103,103,100,31,use_lemma,0.5,0.001,0.01,8175,1,0.9393,0.9266802443991853,0.1723,0.19258642591187036,01:52
104,104,100,21,use_lemma,0.5,0.001,0.001,8175,1,0.9005,0.8981670061099797,0.2911,0.301000112246593,01:17
105,105,100,23,use_lemma,0.5,0.001,0.0001,8175,1,0.9191,0.9205702647657841,0.2458,0.2328044257132439,01:24
106,106,100,69,use_lemma,0.5,0.0001,0.01,8175,1,0.8541,0.90020366598778,0.3859,0.2591135532210169,04:05
107,107,100,65,use_lemma,0.5,0.0001,0.001,8175,1,0.8501,0.9042769857433809,0.4030,0.26662600738453524,03:51
108,108,100,54,use_lemma,0.5,0.0001,0.0001,8175,1,0.8336,0.90020366598778,0.4503,0.28582430565672834,03:14
